s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,-32.2406904,19.4057770,-2.5311378,0.0843093,11.3588609,1.0414556
1.9966847,-30.9688878,17.8637563,-2.3782673,0.0678093,11.5404782,2.8857332
3.9933693,-29.5051172,16.5116502,-2.2602114,0.0518241,12.0293988,4.4102813
5.9900540,-27.9072269,15.3167785,-2.1698737,0.0388082,12.7404206,5.1985511
7.9867386,-26.2191454,14.2468665,-2.1063013,0.0245960,13.5306339,5.1855762
9.9834233,-24.4818590,13.2620680,-2.0709452,0.0121289,14.2753625,5.1726338
11.9801080,-22.7224499,12.3212383,-2.0557860,0.0030077,14.9813955,5.1597236
13.9767926,-20.9527960,11.3934900,-2.0512735,0.0028372,15.6539737,5.1468457
15.9734773,-19.1819434,10.4777500,-2.0447171,0.0028851,16.2972436,5.1339999
17.9701619,-17.4035657,9.5702898,-2.0413355,0.0005010,16.9145531,5.1211862
19.9668466,-15.6245934,8.6653822,-2.0417566,-0.0007620,17.5086520,5.1084044
21.9635313,-13.8457345,7.7571172,-2.0443875,-0.0019429,18.0818317,5.0956546
23.9602159,-12.0708261,6.8421111,-2.0496398,-0.0033165,18.6360261,5.0829366
25.9569006,-10.3023108,5.9154551,-2.0577423,-0.0048197,19.1728848,5.0702503
27.9535852,-8.5425345,4.9717272,-2.0687168,-0.0058414,19.6938289,5.0575957
29.9502699,-6.7938823,4.0078419,-2.0804527,-0.0059133,20.2000926,5.0449727
31.9469545,-5.0567858,3.0237229,-2.0918435,-0.0054071,20.6927567,5.0323811
33.9436392,-3.3302072,2.0207849,-2.1020454,-0.0048461,21.1727735,5.0198210
35.9403239,-1.6134127,1.0011504,-2.1112658,-0.0043896,21.6409874,5.0072923
37.9370085,0.0942709,-0.0334051,-2.1195419,-0.0038939,22.0981516,4.9947948
39.9336932,1.7940409,-1.0813200,-2.1268175,-0.0033952,22.5449410,4.9823285
41.9303778,3.4865562,-2.1406678,-2.1331064,-0.0029046,22.9819634,4.9698933
43.9270625,5.1730791,-3.2099272,-2.1384156,-0.0024123,23.4097685,4.9574892
45.9237472,6.8542982,-4.2872129,-2.1427410,-0.0019199,23.8288554,4.9451160
47.9204318,8.5312630,-5.3708624,-2.1460815,-0.0014262,24.2396787,-3.9043360
49.9171165,10.2056521,-6.4596222,-2.1484408,-0.0009372,23.9159061,-11.8210776
51.9138011,11.8774546,-7.5511559,-2.1498209,-0.0004392,22.9077419,-12.0975971
53.9104858,13.5482730,-8.6441291,-2.1501787,0.0000818,21.8278369,-12.0661227
55.9071705,15.2195612,-9.7370862,-2.1495994,0.0004706,20.6946848,-11.9351898
57.9038551,16.8907565,-10.8277459,-2.1483158,0.0007953,19.5091866,-11.8592741
59.9005398,18.5644956,-11.9163092,-2.1464750,0.0010473,18.2551335,-11.7934596
61.8972244,20.2387983,-13.0002408,-2.1440961,0.0013468,16.9160947,-11.3181000
63.8939091,21.9182504,-14.0809854,-2.1405576,0.0034550,15.5227867,-10.2057075
65.8905938,23.6059573,-15.1491256,-2.1275060,0.0095874,14.1492666,-5.8934486
67.8872784,25.3089366,-16.1722846,-2.0867684,0.0351903,13.2916150,-3.2064357
69.8839631,27.0955989,-17.0836363,-1.9911283,0.0542893,12.8008807,-2.7994818
71.8806477,28.9662345,-17.7980608,-1.8779187,0.0608839,12.3565037,-2.4113978
73.8773324,30.9332380,-18.2863861,-1.7526558,0.0563793,11.9605009,-3.7492744
75.8740171,32.8893848,-18.5428038,-1.6517578,0.0554042,11.3173029,-0.0798515
77.8707017,34.8742407,-18.5655264,-1.4996590,0.0939243,11.3032061,-0.0798515
79.8673864,36.8189444,-18.2495192,-1.3267897,0.0764366,11.2890917,2.1789869
81.8640710,38.7101327,-17.6365820,-1.1930864,0.0608675,11.6681228,3.6280942
83.8607557,40.5427422,-16.7832782,-1.0804665,0.0504598,12.2732803,4.3049234
85.8574403,42.2529985,-15.7632597,-0.9873132,0.0451164,12.9547119,4.3234625
87.8541250,43.8845233,-14.5750583,-0.8964510,0.0411359,13.6047691,4.2704803
89.8508097,45.3880538,-13.2808528,-0.8283096,0.0272047,14.2177124,5.1736604
91.8474943,46.8334149,-11.8975202,-0.7932425,0.0067284,14.9266099,5.1607477
93.8441790,48.2418615,-10.5100509,-0.7943724,0.0020437,15.6016812,5.1478672
95.8408636,49.6635630,-9.0926831,-0.7744175,0.0171044,16.2471471,5.1350189
97.8375483,51.0274719,-7.6490445,-0.7391979,0.0184945,16.8664109,-2.5625221
99.8342330,52.3586778,-6.1306694,-0.7003334,0.0185170,16.5602754,-7.0159825
101.8309176,53.6147508,-4.5860773,-0.6658276,0.0164751,15.6915681,-5.8961190
103.8276023,54.8251040,-2.9817087,-0.6225788,0.0280360,14.9224639,-3.2074708
105.8242869,55.9274312,-1.3371745,-0.5537295,0.0425199,14.4869360,-0.1308430
107.8209716,56.8932972,0.4059841,-0.4531699,0.0573206,14.4688911,-0.1308430
109.8176563,57.6618960,2.2372046,-0.3429745,0.0532170,14.4508237,0.7563664
111.8143409,58.2348612,4.1450752,-0.2422910,0.0480011,14.5549564,1.6987156
113.8110256,58.6246385,6.1148610,-0.1495740,0.0440565,14.7861542,2.2312668
115.8077102,58.8403115,8.0957121,-0.0699046,0.0362945,15.0844499,3.5993050
117.8043949,58.9121271,10.0975024,-0.0046044,0.0280551,15.5535842,5.0618837
119.8010796,58.8715580,12.0927971,0.0422728,0.0190774,16.1903660,5.1361700
121.7977642,58.7531134,14.0915319,0.0738880,0.0124251,16.8118582,5.1233509
123.7944489,58.5857651,16.0785706,0.0920503,0.0061003,17.4097102,5.1105637
125.7911335,58.3943112,18.0629440,0.0983440,0.0001730,17.9862830,5.0978085
127.7878182,58.1993116,20.0504200,0.0966468,-0.0017668,18.5435652,5.0850851
129.7845029,58.0113570,22.0384646,0.0912296,-0.0037175,19.0832500,5.0723935
131.7811875,57.8382660,24.0269626,0.0817314,-0.0058021,19.6067940,5.0597335
133.7778722,57.6884329,26.0184148,0.0676074,-0.0083564,20.1154606,5.0471052
135.7745568,57.5717133,28.0109259,0.0489870,-0.0096126,20.6103545,5.0345083
137.7712415,57.4929312,30.0062476,0.0300170,-0.0093778,21.0924480,5.0219429
139.7679261,57.4509413,32.0014483,0.0124701,-0.0081875,21.5626027,5.0094089
141.7646108,57.4415764,33.9980852,-0.0027201,-0.0070797,22.0215861,4.9969061
143.7612955,57.4604756,35.9956413,-0.0158724,-0.0060908,22.4700856,4.9844345
145.7579801,57.5035882,37.9910328,-0.0269850,-0.0050463,22.9087196,4.9719941
147.7546648,57.5668458,39.9871044,-0.0360341,-0.0040197,23.3380471,4.9595847
149.7513494,57.6461333,41.9826569,-0.0430527,-0.0030112,23.7585752,-9.1711658
151.7480341,57.7374080,43.9773827,-0.0480675,-0.0020130,22.9749003,-11.2643092
153.7447188,57.8367159,45.9720495,-0.0510880,-0.0010028,21.9741552,-11.8169131
155.7414034,57.9399692,47.9656762,-0.0520590,0.0000311,20.8728101,-11.8721337
157.7380881,58.0432466,49.9609079,-0.0510681,0.0009543,19.7044255,-11.5007414
159.7347727,58.1426346,51.9551788,-0.0481534,0.0020834,18.5023695,-11.1412003
161.7314574,58.2336084,53.9487197,-0.0425779,0.0035084,17.2582372,-10.6616405
163.7281421,58.3101581,55.9444973,-0.0332898,0.0058679,15.9771988,-8.7400135
165.7248267,58.3623992,57.9373236,-0.0161610,0.0154183,14.8448234,-5.3961058
167.7215114,58.3513566,59.9351172,0.0333634,0.0338404,14.1003595,-3.9212200
169.7181960,58.2103720,61.9179832,0.1120945,0.0447325,13.5337082,-3.8480035
171.7148807,57.8907966,63.9008635,0.2083677,0.0467308,12.9535616,-3.9922842
173.7115654,57.3902072,65.8342534,0.2973149,0.0436516,12.3228281,-5.3578663
175.7082500,56.7161901,67.7262491,0.3882772,0.0467009,11.4217404,-5.5260696
177.7049347,55.8776105,69.5283150,0.4866146,0.0603539,10.4109806,-2.0168616
179.7016193,54.8232624,71.2125992,0.6452477,0.1001236,10.0167083,-1.2181242
181.6983040,53.4595418,72.6759893,0.8591904,0.1135597,9.7708764,-0.1715108
183.6949887,51.8128343,73.7867186,1.0994566,0.1254177,9.7357649,-0.0590932
185.6916733,49.9477764,74.4566421,1.3533754,0.1269181,9.7236381,-0.0590932
187.6883580,47.9639998,74.6452867,1.5942401,0.1139256,9.7114961,0.2411173
189.6850426,45.9931547,74.3733208,1.8250877,0.1228193,9.7609440,-0.1368801
191.6817273,44.1308793,73.6200595,2.0867637,0.1258566,9.7329037,-0.0590585
193.6784119,42.5380002,72.4385028,2.3315320,0.1269928,9.7207804,-0.0590585
195.6750966,41.2792250,70.8857138,2.5879679,0.1233292,9.7086420,0.3163578
197.6717813,40.4438871,69.1080682,2.8097903,0.1020026,9.7734878,2.1969040
199.6684659,39.9724210,67.1703630,2.9849407,0.0652465,10.2124489,5.1299888
201.6651506,39.7513087,65.1804914,3.0593190,0.0123371,11.1704992,5.2220125
203.6618352,39.5847896,63.1721819,3.0468605,-0.0230897,12.0678696,-0.0933693
205.6585199,39.3237479,61.1781190,2.9649548,-0.0514050,12.0524113,-4.3420337
207.6552046,38.8747320,59.2360980,2.8643903,-0.0496326,11.3102288,-0.0802504
209.6518892,38.2207754,57.3651919,2.7294238,-0.0940394,11.2960526,-0.0795520
211.6485739,37.2501400,55.6470176,2.5256391,-0.0942780,11.2819823,-0.0795520
213.6452585,35.9501112,54.1135123,2.3566701,-0.0766777,11.2678944,2.1852313
215.6419432,34.4570515,52.7972748,2.2434873,-0.0363210,11.6486858,5.2151926
217.6386279,32.8795311,51.5995931,2.2080110,-0.0021674,12.5107182,-2.3748751
219.6353125,31.2711687,50.3917479,2.2304057,0.0245526,12.1257708,-4.6507488
221.6319972,29.7465591,49.1196949,2.3128429,0.0578345,11.3341148,-4.0738153
223.6286818,28.3401293,47.6419874,2.4529972,0.0712722,10.5921627,-2.1296874
225.6253665,27.2022360,46.0268845,2.6104626,0.0958163,10.1827934,-1.2194524
227.6220512,26.3570344,44.1883579,2.8067704,0.0854871,9.9408027,-1.6073643
229.6187358,25.8580050,42.3050201,2.9692108,0.1130985,9.6125313,-0.0576067
231.6154205,25.7745479,40.3367454,-3.0469567,0.1301932,9.6005580,-0.0576067
233.6121051,26.1985011,38.3709418,-2.8216527,0.0992624,9.5885697,2.8162902
235.6087898,26.9876840,36.5533267,-2.6519405,0.0716265,10.1581079,4.5445764
237.6054745,28.0485170,34.8391345,-2.5307770,0.0476090,11.0152316,5.2241654
239.6021591,29.2602021,33.2471264,-2.4586275,0.0254132,11.9246530,-2.7145263
241.5988438,30.5577099,31.7007237,-2.4420077,-0.0134994,11.4611188,-5.8068203
243.5955284,31.7909960,30.1430095,-2.5174873,-0.0578799,10.4004070,-3.9837111
245.5922131,32.8414353,28.4567505,-2.6613286,-0.0875130,9.6052088,-0.9202382
247.5888977,33.5817448,26.6074808,-2.8732979,-0.1256997,9.4119703,-0.1214146
249.5855824,33.8476018,24.6426747,3.1396717,-0.1354552,9.3861777,-0.0549256
251.5822671,33.5756127,22.6734418,2.8675642,-0.1365483,9.3744863,-0.0549256
253.5789517,32.8005185,20.8448605,2.6243977,-0.1051553,9.3627803,2.7271261
255.5756364,31.6566126,19.2290706,2.4263487,-0.1025218,9.9273398,1.8346707
257.5723210,30.1830191,17.8587652,2.2133301,-0.0994118,10.2897324,1.4082424
259.5690057,28.4785507,16.8118768,2.0358353,-0.0814299,10.5594614,2.8506977
261.5656904,26.6222733,16.0571589,1.8820329,-0.0698581,11.0854010,3.3386052
263.5623750,24.6983686,15.5708186,1.7594930,-0.0576797,11.6712638,4.0578319
265.5590597,22.7206437,15.3115567,1.6421826,-0.0595129,12.3459637,2.8336124
267.5557443,20.7305682,15.2867355,1.5250226,-0.0578226,12.7960338,2.4298865
269.5524290,18.7423641,15.4924165,1.4108991,-0.0562248,13.1697348,2.1398625
271.5491137,16.7920479,15.9193574,1.3001226,-0.0548807,13.4902622,1.8986829
273.5457983,14.9014328,16.5565248,1.1918323,-0.0535701,13.7684174,1.7262625
275.5424830,13.0865317,17.3939137,1.0853919,-0.0527135,14.0165232,1.5209644
277.5391676,11.3718721,18.4158757,0.9816819,-0.0513663,14.2315387,1.4698565
279.5358523,9.7688695,19.6096978,0.8802294,-0.0498070,14.4362867,1.4896422
281.5325370,8.2955398,20.9544202,0.7821641,-0.0484896,14.6408697,1.4720472
283.5292216,6.9553745,22.4386853,0.6873617,-0.0464569,14.8402660,1.6309845
285.5259063,5.7590985,24.0406695,0.5961321,-0.0445072,15.0581080,1.7664198
287.5225909,4.7148980,25.7340124,0.5096921,-0.0424516,15.2905390,1.9286705
289.5192756,3.8119955,27.5210389,0.4266522,-0.0404786,15.5403500,2.0733730
291.5159603,3.0596421,29.3677908,0.3476017,-0.0387757,15.8045000,0.7642843
293.5126449,2.4531033,31.2619743,0.2727621,-0.0384225,15.9007638,-0.1952206
295.5093296,1.9960698,33.2034474,0.1866142,-0.0474592,15.8762307,-0.1571420
297.5060142,1.7215315,35.1738890,0.0904694,-0.0477275,15.8564554,-0.1571420
299.5026989,1.6352342,37.1719048,-0.0032860,-0.0446654,15.8366553,0.6411834
301.4993835,1.7265820,39.1686923,-0.0860418,-0.0383529,15.9172904,2.1245606
303.4960682,1.9692123,41.1499029,-0.1549364,-0.0304315,16.1816034,3.8680326
305.4927529,2.3328872,43.1168489,-0.2081118,-0.0224646,16.6520500,5.1266933
307.4894375,2.7834021,45.0617152,-0.2442528,-0.0137681,17.2558266,5.1138978
309.4861222,3.2880221,46.9944833,-0.2640197,-0.0061377,17.8377474,5.1011342
311.4828068,3.8153580,48.9178017,-0.2686402,0.0015252,18.3998898,-7.6159225
313.4794915,4.3374978,50.8451656,-0.2579290,0.0091786,17.5539954,-7.5338295
315.4761762,4.8237438,52.7795638,-0.2321040,0.0166870,16.6750530,-5.9233381
317.4728608,5.2456211,54.7302509,-0.1913091,0.0245109,15.9500255,-4.3756986
319.4695455,5.5717706,56.7012182,-0.1339073,0.0328046,15.3925155,-4.0741477
321.4662301,5.7703602,58.6883546,-0.0642306,0.0365439,14.8546275,-3.8142889
323.4629148,5.8228848,60.6884723,0.0131067,0.0404721,14.3327629,-3.7549000
325.4595995,5.7140888,62.6808449,0.0971447,0.0439215,13.7997605,-3.0484776
327.4562841,5.4281307,64.6660433,0.1913386,0.0508412,13.3513929,-2.3749639
329.4529688,4.9434105,66.6019575,0.3019867,0.0576536,12.9913658,-2.2161994
331.4496534,4.2445520,68.4635978,0.4161786,0.0574431,12.6461647,-1.6603415
333.4463381,3.3334991,70.2264848,0.5418525,0.0680744,12.3812409,-1.4344505
335.4430228,2.2001105,71.8497894,0.6783334,0.0722234,12.1477091,-0.0919997
337.4397074,0.8200083,73.3164905,0.8355002,0.0815220,12.1325779,-0.0919997
339.4363921,-0.7538420,74.5409767,0.9775524,0.0629500,12.1174279,2.6651524
341.4330767,-2.4766859,75.5582463,1.0952825,0.0563088,12.5489042,3.0343519
343.4297614,-4.2943439,76.3730453,1.2012388,0.0506676,13.0227602,2.7961983
345.4264461,-6.1846160,76.9885306,1.3149923,0.0632897,13.4446471,-0.3293052
347.4231307,-8.1401517,77.3647700,1.4470808,0.0656633,13.3956522,-0.1689730
349.4198154,-10.1437239,77.4826355,1.5762220,0.0633524,13.3704423,-0.5480824
351.4165000,-12.1346115,77.3486148,1.6986694,0.0600935,13.2883419,-1.3568950
353.4131847,-14.1069281,76.9726196,1.8195953,0.0593092,13.0828685,-1.7868657
355.4098693,-16.0076160,76.3695319,1.9362230,0.0585028,12.8072571,-2.1548359
357.4065540,-17.8444968,75.5406385,2.0514369,0.0541791,12.4667870,-3.4579024
359.4032387,-19.5482940,74.5372328,2.1539575,0.0537251,11.9000881,-4.4294985
361.3999233,-21.1415829,73.3518452,2.2689588,0.0597785,11.1320921,-1.3490851
363.3966080,-22.5730220,71.9741225,2.4160708,0.0904788,10.8874276,-0.0794391
365.3932926,-23.7426927,70.3589900,2.6167437,0.1014597,10.8728492,-0.0737028
367.3899773,-24.5641673,68.5344007,2.8211310,0.1017600,10.8593060,-0.0737028
369.3866620,-25.0058089,66.5859655,3.0129256,0.0918268,10.8457459,1.1248734
371.3833466,-25.0890999,64.6025762,-3.1066945,0.0642149,11.0508932,4.0816062
373.3800313,-24.9219308,62.6257440,-3.0181991,0.0374659,11.7652710,5.2134865
375.3767159,-24.5935181,60.6500737,-2.9322771,0.0472296,12.6190720,4.3795812
377.3734006,-24.0852109,58.7168496,-2.8361917,0.0495621,13.2939935,2.3567155
379.3700853,-23.3818479,56.8365828,-2.7298575,0.0501581,13.6433683,-1.6436051
381.3667699,-22.5077705,55.0462341,-2.6529300,0.0263087,13.4006707,-7.0762889
383.3634546,-21.5440027,53.2960484,-2.6371814,-0.0130934,12.3012089,-4.7963281
385.3601392,-20.6319852,51.5318099,-2.7059148,-0.0551296,11.4963573,-1.5262336
387.3568239,-19.9124542,49.6742600,-2.8477550,-0.0837030,11.2281529,-0.7616968
389.3535086,-19.4924834,47.7189588,-3.0072955,-0.0732402,11.0918745,-2.8033665
391.3501932,-19.3711736,45.7062979,3.1262667,-0.0747552,10.5751975,-2.8585337
393.3468779,-19.5440846,43.7125319,2.9878274,-0.0630261,10.0209591,-2.4736254
395.3435625,-19.9830861,41.7634320,2.8359874,-0.1058405,9.5153309,-0.0564476
397.3402472,-20.8009806,39.9798929,2.5761504,-0.1328667,9.5034786,-0.0564476
399.3369319,-22.0616670,38.4333462,2.3525662,-0.0929717,9.4916116,3.5678090
401.3336165,-23.5773862,37.1717826,2.1833422,-0.0749429,10.2146106,4.1153790
403.3303012,-25.2711220,36.1357309,2.0697720,-0.0361818,10.9896541,5.2245172
405.3269858,-27.0766138,35.2094902,2.0306512,-0.0027937,11.9010892,-4.2753476
407.3236705,-28.8621809,34.3004585,2.0667731,0.0394903,11.1607743,-4.9747997
409.3203551,-30.5816900,33.2463390,2.1838981,0.0677255,10.2321391,-4.1331923
411.3170398,-32.1062403,31.9998108,2.3353086,0.0898266,9.3910227,-0.3781851
413.3137245,-33.3885319,30.4754989,2.5644521,0.1347006,9.3102671,-0.0923722
415.3104091,-34.2397626,28.6736216,2.8333576,0.1324002,9.2904358,-0.0538108
417.3070938,-34.5717809,26.7061006,3.1220538,0.1393772,9.2788637,-0.0538108
419.3037784,-34.3902611,24.7305253,-2.9683320,0.0511642,9.2672771,5.2463235
421.3004631,-33.9331576,22.8212680,-2.8326299,0.0836155,10.3360017,3.0003441
423.2971478,-33.1736647,20.9800126,-2.6723695,0.0744887,10.9002025,3.0754068
